iter	F1	Logloss
0	0.751695383	0.6889726675
1	0.7566564537	0.6849325621
2	0.7524338558	0.6810098558
3	0.7656149643	0.677270419
4	0.7620379655	0.6735164534
5	0.7620017582	0.6697887892
6	0.7617265039	0.6662137484
7	0.7615980843	0.6626107711
8	0.767963773	0.6591520549
9	0.7679550799	0.6558581551
10	0.7614845516	0.6526296119
11	0.7657156052	0.6493219307
12	0.7655577827	0.6461392634
13	0.7558086191	0.643167989
14	0.7635401021	0.6401456066
15	0.7645868586	0.6371100967
16	0.7628275484	0.6342624814
17	0.7568035165	0.6314341601
18	0.7593494293	0.6287036168
19	0.7570191018	0.6259421003
20	0.7635296118	0.623312465
21	0.7659495461	0.6207381423
22	0.7627643142	0.6181881122
23	0.7601145457	0.6157199298
24	0.7640651422	0.6133514407
25	0.7641031847	0.6109472601
26	0.7624458438	0.6086037178
27	0.7620055192	0.6062538687
28	0.7617277544	0.6038875287
29	0.7619213746	0.60167199
30	0.7650261627	0.5993999709
31	0.7633658724	0.5972600199
32	0.7634623912	0.5952179403
33	0.7643687226	0.5931743191
34	0.7644536481	0.5911042095
35	0.7649138163	0.5891761653
36	0.7650152545	0.5872109347
37	0.7657491765	0.5852946631
38	0.7661784245	0.5834746747
39	0.7668632362	0.5816020365
40	0.767345101	0.5797969973
41	0.7678141101	0.5780846908
42	0.7692341276	0.5763327218
43	0.7681598411	0.5745646823
44	0.769902592	0.5729502005
45	0.7698947294	0.5713040448
46	0.7702933451	0.5696986727
47	0.7702299381	0.5680984862
48	0.7705141271	0.5665748684
49	0.7709003034	0.5650976402
50	0.7709527005	0.563600464
51	0.7701468196	0.5620984292
52	0.7705325135	0.5606760464
53	0.7708225289	0.5591831214
54	0.7707598026	0.5578231521
55	0.7717120405	0.55646991
56	0.7715845577	0.5551107816
57	0.771587455	0.5537741706
58	0.7715573139	0.5524010739
59	0.7703292642	0.5510902038
60	0.7702556914	0.5498538001
61	0.7708635189	0.5486394467
62	0.7709378318	0.5473241853
63	0.771884676	0.5461002549
64	0.771968585	0.5449106146
65	0.7705033906	0.5437389603
66	0.7705804294	0.5426463038
67	0.7711752554	0.5415570577
68	0.7710224598	0.5404381931
69	0.7716924488	0.5393129284
70	0.7713151559	0.5382465734
71	0.7716669055	0.5371975971
72	0.7718224982	0.5360723791
73	0.7717905313	0.5350757254
74	0.7717875946	0.5340574419
75	0.7719826338	0.5330693374
76	0.7726181516	0.5320816533
77	0.7726694355	0.531098454
78	0.7728776975	0.5301411825
79	0.7740560595	0.5291417725
80	0.7740231775	0.5282224349
81	0.7730298452	0.5273100114
82	0.7737991727	0.5263620365
83	0.77386494	0.5255185201
84	0.7738946738	0.5246538878
85	0.7735787695	0.5237847239
86	0.7736873864	0.5228998633
87	0.7744335641	0.5220808731
88	0.7749849434	0.5212734687
89	0.774964018	0.5204915249
90	0.7745279609	0.5196876242
91	0.7747595038	0.5189000744
92	0.7748761623	0.5181560178
93	0.7747566128	0.5174364408
94	0.77494761	0.5166697733
95	0.7749646813	0.5159214655
96	0.7752071382	0.5152184262
97	0.7751165395	0.5145401467
98	0.7747626951	0.5138218777
99	0.7752664345	0.5131084205
100	0.7752518125	0.5124327572
101	0.7755915831	0.5117229906
102	0.7757660327	0.5110633044
103	0.7754982145	0.5103637688
104	0.7753746508	0.5097139865
105	0.7756155554	0.509053833
106	0.7759992541	0.5084084421
107	0.7767008992	0.5077938374
108	0.7764190847	0.507163863
109	0.7763460543	0.506556733
110	0.7761738376	0.5059834259
111	0.7760223632	0.5054183409
112	0.7760452589	0.5048535829
113	0.776426591	0.5042270655
114	0.7765520857	0.5035641558
115	0.7767757885	0.5029790761
116	0.7770545929	0.5023498024
117	0.7774589436	0.5017596305
118	0.7772882598	0.5012223887
119	0.7768785064	0.5006867352
120	0.7774036076	0.5001785044
121	0.7772981899	0.4995984234
122	0.7775189451	0.4991137846
123	0.7779225191	0.4985138022
124	0.7783653273	0.4980198667
125	0.77875105	0.4974340863
126	0.779565184	0.4969137092
127	0.7794295324	0.4963786163
128	0.7796384317	0.4959095341
129	0.7795462449	0.4954388168
130	0.7799100382	0.494899426
131	0.7798827506	0.4944388462
132	0.7803180006	0.4938998759
133	0.7805718515	0.4933732387
134	0.781108322	0.4928939723
135	0.7811456039	0.4924275997
136	0.7814236038	0.4919251617
137	0.78159303	0.4914107644
138	0.7817902463	0.4909650405
139	0.7817892708	0.4905088988
140	0.7821507606	0.4900427598
141	0.7822311894	0.4895828808
142	0.7824890557	0.4890916081
143	0.7824051143	0.4886713449
144	0.7828557958	0.4882116527
145	0.7827981906	0.4877902215
146	0.7830282356	0.4873617361
147	0.7834793169	0.4869215249
148	0.7837613743	0.4864933665
149	0.7838792868	0.4859956937
150	0.7839652203	0.4855649659
151	0.7842803911	0.4851238669
152	0.7846339992	0.4847120127
153	0.7846606869	0.4842629719
154	0.7851418701	0.483866394
155	0.7850863561	0.4834521572
156	0.7855177709	0.4830707155
157	0.7859788614	0.4826651213
158	0.7855148036	0.4822840533
159	0.7857544811	0.4818943428
160	0.785897163	0.4814841236
161	0.7862123472	0.4810953473
162	0.786216967	0.4806738227
163	0.7862318163	0.4803104137
164	0.7862335983	0.4799480324
165	0.7864803408	0.4795678053
166	0.7870432264	0.479188279
167	0.7868388023	0.4788366892
168	0.7870272274	0.4784671136
169	0.7870278219	0.4780969306
170	0.787074196	0.477749265
171	0.7874598407	0.4774060843
172	0.7876695357	0.4770584655
173	0.7878133292	0.4767214046
174	0.7878698486	0.4763697214
175	0.7882149368	0.4760441996
176	0.788469451	0.4756457063
177	0.7884370076	0.4753265379
178	0.7888327861	0.4749940553
179	0.788978296	0.4746714299
180	0.7887167912	0.4743340887
181	0.7889495056	0.4740273003
182	0.7886436221	0.4736645453
183	0.7892387782	0.4733406585
184	0.7896199983	0.4730215369
185	0.7895197969	0.4726860644
186	0.7896909203	0.4723480692
187	0.7900957916	0.4720210057
188	0.79016436	0.4717399114
189	0.790392077	0.4714265359
190	0.7903217602	0.4711252133
191	0.790929564	0.4708351962
192	0.7909516411	0.470545506
193	0.7907337071	0.4702504435
194	0.7909542019	0.4699389833
195	0.791336555	0.4696535444
196	0.7916324366	0.4693192398
197	0.7919120808	0.4690314651
198	0.7919264122	0.4687299556
199	0.7918867557	0.4684119552
200	0.7919369239	0.4680949358
201	0.7918918849	0.4678171584
202	0.7924438504	0.4675582078
203	0.792215723	0.4672679104
204	0.7919862734	0.4670264318
205	0.7921958186	0.4667562225
206	0.7923706542	0.4664806408
207	0.7923778254	0.4662308935
208	0.7926363905	0.4659895551
209	0.7930198047	0.4657308381
210	0.7930586625	0.4654690378
211	0.7930125973	0.46521261
212	0.7923962012	0.4649420737
213	0.7928534634	0.4646791055
214	0.7928025739	0.4644014215
215	0.793377371	0.4641114978
216	0.7932984499	0.4638653476
217	0.7935202803	0.4636336328
218	0.7938215318	0.4633687025
219	0.7940570123	0.4631012495
220	0.7941036937	0.4628607521
221	0.794398788	0.4625819002
222	0.7942160376	0.4623446262
223	0.7942840749	0.4621249176
224	0.7941294307	0.4618828318
225	0.7947826891	0.4616143043
226	0.7951056627	0.4613618473
227	0.7950515169	0.4611384014
228	0.7952370569	0.4609069203
229	0.7954524969	0.4606782888
230	0.7952915681	0.4604543291
231	0.7952176725	0.4602176624
232	0.7952470278	0.459990339
233	0.7954259598	0.4597633426
234	0.7956347989	0.4595203225
235	0.796078167	0.4592787038
236	0.7965583639	0.4590635735
237	0.7967770947	0.4588312514
238	0.7966279132	0.4585922956
239	0.7965661933	0.458367308
240	0.7965799852	0.4581547939
241	0.796786166	0.4579363467
242	0.797209626	0.4577273829
243	0.7970869493	0.4574803918
244	0.7977281366	0.4572412959
245	0.7976641796	0.457038125
246	0.7977539389	0.4568355615
247	0.7980327389	0.4566400055
248	0.7980753522	0.4564268372
249	0.7982601567	0.4562120807
250	0.7980234454	0.4560115727
251	0.7977896099	0.4558199875
252	0.7980576613	0.455603409
253	0.7981635944	0.4554121509
254	0.7985619894	0.455226639
255	0.7984831259	0.4550406131
256	0.7985233612	0.4548488879
257	0.7985419789	0.4546712711
258	0.7986124349	0.4544646899
259	0.7988873839	0.45425311
260	0.7987309257	0.4540547043
261	0.7986098508	0.4538393871
262	0.7988692313	0.4536625645
263	0.798766966	0.4534282803
264	0.7985279686	0.4532438429
265	0.7988114202	0.4530410457
266	0.7988486695	0.4528404443
267	0.7987746242	0.4526416181
268	0.7989755766	0.4524609647
269	0.7991614557	0.4522657824
270	0.7991939087	0.452091389
271	0.7993917597	0.4519276471
272	0.7995102033	0.4517775464
273	0.7996298401	0.4515889044
274	0.7994410512	0.4514012435
275	0.7996250305	0.4512126015
276	0.7999009006	0.4510549327
277	0.79992375	0.4508486319
278	0.8001274452	0.4506883469
279	0.8003316938	0.4504977429
280	0.800461471	0.4503176034
281	0.8005485273	0.450135455
282	0.8005677784	0.4499563433
283	0.8003942527	0.4497668604
284	0.8004909487	0.4495561682
285	0.8007065653	0.4493787849
286	0.8007216083	0.449223779
287	0.8010049304	0.4490721833
288	0.8009928942	0.448909983
289	0.8009305628	0.4487546033
290	0.8010115505	0.4485876379
291	0.8010326151	0.4484190374
292	0.8012439071	0.4482170345
293	0.8013609741	0.4480430616
294	0.8015607591	0.4478697427
295	0.8015087392	0.4476918923
296	0.8015980908	0.4475331023
297	0.8014530937	0.447379311
298	0.8016540948	0.447229584
299	0.8014952469	0.4470755124
300	0.8016123188	0.4469013993
301	0.8015398138	0.4467524665
302	0.8017173345	0.4465712525
303	0.8017215509	0.4464146115
304	0.8017607047	0.4462573164
305	0.8017727528	0.4460826427
306	0.8017727528	0.4459061471
307	0.8017026718	0.4457544581
308	0.8017998623	0.4455863714
309	0.8018040795	0.4454303844
310	0.8016422159	0.4452837875
