iter	Passed	Remaining
0	17	87879
1	31	77621
2	43	72154
3	56	70192
4	69	69306
5	83	69119
6	96	68726
7	109	68501
8	123	68265
9	136	68357
10	150	68368
11	164	68313
12	175	67176
13	186	66526
14	201	66949
15	214	66964
16	227	66753
17	240	66605
18	254	66730
19	268	66842
20	281	66817
21	295	66803
22	307	66549
23	320	66408
24	332	66174
25	345	66130
26	358	66058
27	371	65974
28	384	65901
29	397	65914
30	411	65984
31	422	65619
32	436	65644
33	448	65474
34	462	65564
35	475	65529
36	488	65576
37	502	65555
38	514	65501
39	527	65445
40	541	65436
41	554	65450
42	566	65324
43	579	65220
44	591	65176
45	604	65151
46	617	65102
47	629	64990
48	643	65033
49	656	64999
50	670	65047
51	684	65098
52	697	65137
53	709	65012
54	722	64965
55	735	64968
56	749	65029
57	763	65072
58	777	65100
59	790	65113
60	803	65033
61	816	64994
62	829	64986
63	841	64924
64	855	64938
65	869	64969
66	883	65020
67	896	65041
68	907	64883
69	920	64800
70	933	64839
71	947	64872
72	959	64759
73	971	64695
74	984	64646
75	996	64561
76	1010	64576
77	1022	64543
78	1035	64494
79	1045	64273
80	1057	64248
81	1070	64224
82	1084	64261
83	1097	64249
84	1111	64256
85	1124	64237
86	1135	64102
87	1146	64008
88	1161	64068
89	1169	63803
90	1183	63853
91	1197	63901
92	1211	63898
93	1224	63899
94	1237	63918
95	1251	63932
96	1263	63842
97	1277	63886
98	1290	63901
99	1303	63891
100	1317	63891
101	1331	63930
102	1345	63969
103	1358	63974
104	1369	63831
105	1382	63814
106	1393	63743
107	1403	63591
108	1415	63525
109	1428	63523
110	1442	63528
111	1452	63400
112	1466	63437
113	1479	63422
114	1491	63336
115	1499	63122
116	1506	62893
117	1514	62653
118	1521	62418
119	1529	62179
120	1536	61946
121	1543	61711
122	1550	61486
123	1558	61282
124	1565	61069
125	1573	60860
126	1580	60647
127	1587	60411
128	1593	60171
129	1604	60100
130	1617	60137
131	1631	60177
132	1645	60218
133	1659	60247
134	1672	60280
135	1683	60212
136	1696	60207
137	1710	60247
138	1723	60275
139	1737	60313
140	1750	60328
141	1762	60301
142	1776	60324
143	1789	60358
144	1803	60391
145	1817	60418
146	1830	60446
147	1844	60474
148	1857	60482
149	1869	60458
150	1883	60486
151	1896	60479
152	1910	60510
153	1922	60494
154	1936	60530
155	1950	60553
156	1963	60573
157	1977	60602
158	1990	60616
159	2003	60618
160	2017	60631
161	2031	60658
162	2043	60637
163	2056	60636
164	2069	60637
165	2083	60660
166	2093	60595
167	2106	60582
168	2120	60611
169	2134	60632
170	2145	60589
171	2158	60581
